code,name,synonym,unit
PCDD/F_nc_69.1,PCDD/F - non combustion - Steel production: basic oxygen furnace,E_PCDD/F_nc_69.1,kg
PCDD/F_nc_69.2,PCDD/F - non combustion - Steel production: electric arc furnace,E_PCDD/F_nc_69.2,kg
PM10_nc_1.1,PM10 - non combustion - Agglomeration plant - pellets,E_PM10_nc_1.1,kg
PM10_nc_1.2,PM10 - non combustion - Agglomeration plant - sinter,E_PM10_nc_1.2,kg
PM10_nc_2.0,PM10 - non combustion - Aluminium ores and concentrates (Bauxite),E_PM10_nc_2.0,kg
PM10_nc_4.0,PM10 - non combustion - Bricks production,E_PM10_nc_4.0,kg
PM10_nc_5.0,PM10 - non combustion - Briquettes production,E_PM10_nc_5.0,kg
PM10_nc_6.0,PM10 - non combustion - Carbon black production,E_PM10_nc_6.0,kg
PM10_nc_7.0,PM10 - non combustion - Cast iron production (grey iron foundries),E_PM10_nc_7.0,kg
PM10_nc_8.0,PM10 - non combustion - Cement production,E_PM10_nc_8.0,kg
PM10_nc_9.1,"PM10 - non combustion - Chemical wood pulp, dissolving grades",E_PM10_nc_9.1,kg
PM10_nc_9.2,"PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades",E_PM10_nc_9.2,kg
PM10_nc_9.3,"PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades",E_PM10_nc_9.3,kg
PM10_nc_10.0,PM10 - non combustion - Chromium ores and concentrates,E_PM10_nc_10.0,kg
PM10_nc_12.0,PM10 - non combustion - Copper ores and concentrates,E_PM10_nc_12.0,kg
PM10_nc_22.0,PM10 - non combustion - Fertilizer production (N-fertilizer),E_PM10_nc_22.0,kg
PM10_nc_26.0,PM10 - non combustion - Glass production,E_PM10_nc_26.0,kg
PM10_nc_27.0,PM10 - non combustion - Gold ores and concentrates,E_PM10_nc_27.0,kg
PM10_nc_31.0,PM10 - non combustion - Iron ores and concentrates,E_PM10_nc_31.0,kg
PM10_nc_32.0,PM10 - non combustion - Lead ores and concentrates,E_PM10_nc_32.0,kg
PM10_nc_34.0,PM10 - non combustion - Lime production,E_PM10_nc_34.0,kg
PM10_nc_36.0,PM10 - non combustion - Mining of antracite,E_PM10_nc_36.0,kg
PM10_nc_37.0,PM10 - non combustion - Mining of bituminous coal,E_PM10_nc_37.0,kg
PM10_nc_38.0,PM10 - non combustion - Mining of coking coal,E_PM10_nc_38.0,kg
PM10_nc_39.0,PM10 - non combustion - Mining of lignite (brown coal),E_PM10_nc_39.0,kg
PM10_nc_40.0,PM10 - non combustion - Mining of sub-bituminous coal,E_PM10_nc_40.0,kg
PM10_nc_41.0,PM10 - non combustion - Molybdenum ores and concentrates,E_PM10_nc_41.0,kg
PM10_nc_43.0,PM10 - non combustion - N- fertilizer production,E_PM10_nc_43.0,kg
PM10_nc_44.0,PM10 - non combustion - Nickel ores and concentrates,E_PM10_nc_44.0,kg
PM10_nc_45.0,"PM10 - non combustion - Nickel, unwrought",E_PM10_nc_45.0,kg
PM10_nc_46.0,PM10 - non combustion - Oil refinery,E_PM10_nc_46.0,kg
PM10_nc_50.0,"PM10 - non combustion - Pig iron production, blast furnace",E_PM10_nc_50.0,kg
PM10_nc_51.0,PM10 - non combustion - Platinum ores and concentrates,E_PM10_nc_51.0,kg
PM10_nc_56.0,PM10 - non combustion - Primary aluminium production,E_PM10_nc_56.0,kg
PM10_nc_58.0,PM10 - non combustion - Production of coke oven coke,E_PM10_nc_58.0,kg
PM10_nc_59.0,PM10 - non combustion - Production of gascoke,E_PM10_nc_59.0,kg
PM10_nc_62.0,"PM10 - non combustion - Refined copper; unwrought, not alloyed",E_PM10_nc_62.0,kg
PM10_nc_63.0,"PM10 - non combustion - Refined lead, unwrought",E_PM10_nc_63.0,kg
PM10_nc_66.0,"PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood",E_PM10_nc_66.0,kg
PM10_nc_67.0,PM10 - non combustion - Silver ores and concentrates,E_PM10_nc_67.0,kg
PM10_nc_69.1,PM10 - non combustion - Steel production: basic oxygen furnace,E_PM10_nc_69.1,kg
PM10_nc_69.2,PM10 - non combustion - Steel production: electric arc furnace,E_PM10_nc_69.2,kg
PM10_nc_69.3,PM10 - non combustion - Steel production: open hearth furnace,E_PM10_nc_69.3,kg
PM10_nc_72.0,PM10 - non combustion - Tin ores and concentrates,E_PM10_nc_72.0,kg
PM10_nc_74.0,PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_PM10_nc_74.0,kg
PM10_nc_77.0,PM10 - non combustion - Zinc ores and concentrates,E_PM10_nc_77.0,kg
PM10_nc_78.0,"PM10 - non combustion - Zinc, unwrought, not alloyed",E_PM10_nc_78.0,kg
PM2.5_nc_1.1,PM2.5 - non combustion - Agglomeration plant - pellets,E_PM2.5_nc_1.1,kg
PM2.5_nc_1.2,PM2.5 - non combustion - Agglomeration plant - sinter,E_PM2.5_nc_1.2,kg
PM2.5_nc_2.0,PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite),E_PM2.5_nc_2.0,kg
PM2.5_nc_4.0,PM2.5 - non combustion - Bricks production,E_PM2.5_nc_4.0,kg
PM2.5_nc_5.0,PM2.5 - non combustion - Briquettes production,E_PM2.5_nc_5.0,kg
PM2.5_nc_6.0,PM2.5 - non combustion - Carbon black production,E_PM2.5_nc_6.0,kg
PM2.5_nc_7.0,PM2.5 - non combustion - Cast iron production (grey iron foundries),E_PM2.5_nc_7.0,kg
PM2.5_nc_8.0,PM2.5 - non combustion - Cement production,E_PM2.5_nc_8.0,kg
PM2.5_nc_9.1,"PM2.5 - non combustion - Chemical wood pulp, dissolving grades",E_PM2.5_nc_9.1,kg
PM2.5_nc_9.2,"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades",E_PM2.5_nc_9.2,kg
PM2.5_nc_9.3,"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades",E_PM2.5_nc_9.3,kg
PM2.5_nc_10.0,PM2.5 - non combustion - Chromium ores and concentrates,E_PM2.5_nc_10.0,kg
PM2.5_nc_12.0,PM2.5 - non combustion - Copper ores and concentrates,E_PM2.5_nc_12.0,kg
PM2.5_nc_22.0,PM2.5 - non combustion - Fertilizer production (N-fertilizer),E_PM2.5_nc_22.0,kg
PM2.5_nc_26.0,PM2.5 - non combustion - Glass production,E_PM2.5_nc_26.0,kg
PM2.5_nc_27.0,PM2.5 - non combustion - Gold ores and concentrates,E_PM2.5_nc_27.0,kg
PM2.5_nc_31.0,PM2.5 - non combustion - Iron ores and concentrates,E_PM2.5_nc_31.0,kg
PM2.5_nc_32.0,PM2.5 - non combustion - Lead ores and concentrates,E_PM2.5_nc_32.0,kg
PM2.5_nc_34.0,PM2.5 - non combustion - Lime production,E_PM2.5_nc_34.0,kg
PM2.5_nc_36.0,PM2.5 - non combustion - Mining of antracite,E_PM2.5_nc_36.0,kg
PM2.5_nc_37.0,PM2.5 - non combustion - Mining of bituminous coal,E_PM2.5_nc_37.0,kg
PM2.5_nc_38.0,PM2.5 - non combustion - Mining of coking coal,E_PM2.5_nc_38.0,kg
PM2.5_nc_39.0,PM2.5 - non combustion - Mining of lignite (brown coal),E_PM2.5_nc_39.0,kg
PM2.5_nc_40.0,PM2.5 - non combustion - Mining of sub-bituminous coal,E_PM2.5_nc_40.0,kg
PM2.5_nc_41.0,PM2.5 - non combustion - Molybdenum ores and concentrates,E_PM2.5_nc_41.0,kg
