name,synonym,unit
Unused Domestic Extraction - Primary Crops - Leeks and other Alliac. Veg.,UDE_1.04.018,kt
Unused Domestic Extraction - Primary Crops - Lettuce,UDE_1.04.019,kt
Unused Domestic Extraction - Primary Crops - Mushrooms,UDE_1.04.020,kt
"Unused Domestic Extraction - Primary Crops - Peas, Green",UDE_1.04.021,kt
"Unused Domestic Extraction - Primary Crops - Pumpkins, Squash, Gourds",UDE_1.04.022,kt
Unused Domestic Extraction - Primary Crops - Spinach,UDE_1.04.023,kt
Unused Domestic Extraction - Primary Crops - Tomatoes,UDE_1.04.024,kt
Unused Domestic Extraction - Primary Crops - Vegetables Fresh nec,UDE_1.04.025,kt
Unused Domestic Extraction - Primary Crops - Apples,UDE_1.04.026,kt
Unused Domestic Extraction - Primary Crops - Apricots,UDE_1.04.027,kt
Unused Domestic Extraction - Primary Crops - Avocados,UDE_1.04.028,kt
Unused Domestic Extraction - Primary Crops - Blueberries,UDE_1.04.029,kt
Unused Domestic Extraction - Primary Crops - Carobs,UDE_1.04.030,kt
Unused Domestic Extraction - Primary Crops - Cherries,UDE_1.04.031,kt
Unused Domestic Extraction - Primary Crops - Currants,UDE_1.04.032,kt
Unused Domestic Extraction - Primary Crops - Dates,UDE_1.04.033,kt
Unused Domestic Extraction - Primary Crops - Figs,UDE_1.04.034,kt
Unused Domestic Extraction - Primary Crops - Gooseberries,UDE_1.04.035,kt
Unused Domestic Extraction - Primary Crops - Grapefruit and Pomelos,UDE_1.04.036,kt
Unused Domestic Extraction - Primary Crops - Grapes,UDE_1.04.037,kt
Unused Domestic Extraction - Primary Crops - Kiwi Fruit,UDE_1.04.038,kt
Unused Domestic Extraction - Primary Crops - Lemons and Limes,UDE_1.04.039,kt
Unused Domestic Extraction - Primary Crops - Oranges,UDE_1.04.040,kt
Unused Domestic Extraction - Primary Crops - Peaches and Nectarines,UDE_1.04.041,kt
Unused Domestic Extraction - Primary Crops - Pears,UDE_1.04.042,kt
Unused Domestic Extraction - Primary Crops - Persimmons,UDE_1.04.043,kt
Unused Domestic Extraction - Primary Crops - Pineapples,UDE_1.04.044,kt
Unused Domestic Extraction - Primary Crops - Plums,UDE_1.04.045,kt
Unused Domestic Extraction - Primary Crops - Quinces,UDE_1.04.046,kt
Unused Domestic Extraction - Primary Crops - Raspberries,UDE_1.04.047,kt
Unused Domestic Extraction - Primary Crops - Sour Cherries,UDE_1.04.048,kt
Unused Domestic Extraction - Primary Crops - Strawberries,UDE_1.04.049,kt
Unused Domestic Extraction - Primary Crops - Tang. Mand Clement. Satsma,UDE_1.04.050,kt
Unused Domestic Extraction - Primary Crops - Berries nec,UDE_1.04.051,kt
Unused Domestic Extraction - Primary Crops - Citrus Fruit nec,UDE_1.04.052,kt
"Unused Domestic Extraction - Primary Crops - Stone Fruit nec,",UDE_1.04.053,kt
Unused Domestic Extraction - Primary Crops - Almonds,UDE_1.04.054,kt
Unused Domestic Extraction - Primary Crops - Chestnuts,UDE_1.04.055,kt
Unused Domestic Extraction - Primary Crops - Hazelnuts,UDE_1.04.056,kt
Unused Domestic Extraction - Primary Crops - Pistachios,UDE_1.04.057,kt
Unused Domestic Extraction - Primary Crops - Walnuts,UDE_1.04.058,kt
Unused Domestic Extraction - Primary Crops - Cassava,UDE_1.04.059,kt
"Unused Domestic Extraction - Primary Crops - Roots and Tubers, nes",UDE_1.04.060,kt
Unused Domestic Extraction - Primary Crops - Taro,UDE_1.04.061,kt
Unused Domestic Extraction - Primary Crops - Yautia,UDE_1.04.062,kt
Unused Domestic Extraction - Primary Crops - Bambara beans,UDE_1.04.063,kt
"Unused Domestic Extraction - Primary Crops - Beans, dry",UDE_1.04.064,kt
"Unused Domestic Extraction - Primary Crops - Beans, green",UDE_1.04.065,kt
"Unused Domestic Extraction - Primary Crops - Broad beans, horse beans, dry",UDE_1.04.066,kt
Unused Domestic Extraction - Primary Crops - Chick peas,UDE_1.04.067,kt
"Unused Domestic Extraction - Primary Crops - Cow peas, dry",UDE_1.04.068,kt
"Unused Domestic Extraction - Primary Crops - Peas, dry",UDE_1.04.069,kt
Unused Domestic Extraction - Primary Crops - Pigeon peas,UDE_1.04.070,kt
Unused Domestic Extraction - Primary Crops - String beans,UDE_1.04.071,kt
Unused Domestic Extraction - Primary Crops - Coconuts,UDE_1.04.072,kt
Unused Domestic Extraction - Primary Crops - Okra,UDE_1.04.073,kt
Unused Domestic Extraction - Primary Crops - Onions,UDE_1.04.074,kt
"Unused Domestic Extraction - Primary Crops - Onions, dry",UDE_1.04.075,
Unused Domestic Extraction - Primary Crops - Other melons,UDE_1.04.076,kt
Unused Domestic Extraction - Primary Crops - Watermelons,UDE_1.04.077,kt
Unused Domestic Extraction - Primary Crops - Bananas,UDE_1.04.078,kt
Unused Domestic Extraction - Primary Crops - Cashewapple,UDE_1.04.079,kt
Unused Domestic Extraction - Primary Crops - Cranberries,UDE_1.04.080,kt
Unused Domestic Extraction - Primary Crops - Fruit Fresh Nes,UDE_1.04.081,kt
"Unused Domestic Extraction - Primary Crops - Fruit, tropical fresh nes",UDE_1.04.082,kt
"Unused Domestic Extraction - Primary Crops - Mangoes, mangosteens, guavas",UDE_1.04.083,kt
Unused Domestic Extraction - Primary Crops - Papayas,UDE_1.04.084,kt
Unused Domestic Extraction - Primary Crops - Plantains,UDE_1.04.085,kt
Unused Domestic Extraction - Primary Crops - Arecanuts,UDE_1.04.086,kt
"Unused Domestic Extraction - Primary Crops - Brazil nuts, with shell",UDE_1.04.087,kt
"Unused Domestic Extraction - Primary Crops - Cashew nuts, with shell",UDE_1.04.088,kt
Unused Domestic Extraction - Primary Crops - Kolanuts,UDE_1.04.089,kt
"Unused Domestic Extraction - Primary Crops - Nuts, nes",UDE_1.04.090,kt
"Unused Domestic Extraction - Primary Crops - Leguminous vegetables, nes",UDE_1.04.091,kt
"Unused Domestic Extraction - Primary Crops - Maize, green",UDE_1.04.092,kt
"Unused Domestic Extraction - Primary Crops - Pome fruit, nes",UDE_1.04.093,kt
Unused Domestic Extraction - Primary Crops - Cassava leaves,UDE_1.04.094,kt
Unused Domestic Extraction - Primary Crops - Groundnuts in Shell,UDE_1.05.001,kt
Unused Domestic Extraction - Primary Crops - Hempseed,UDE_1.05.002,kt
Unused Domestic Extraction - Primary Crops - Linseed,UDE_1.05.003,kt
Unused Domestic Extraction - Primary Crops - Melonseed,UDE_1.05.004,kt
Unused Domestic Extraction - Primary Crops - Mustard Seed,UDE_1.05.005,kt
Unused Domestic Extraction - Primary Crops - Poppy Seed,UDE_1.05.006,kt
Unused Domestic Extraction - Primary Crops - Rapeseed,UDE_1.05.007,kt
Unused Domestic Extraction - Primary Crops - Safflower Seed,UDE_1.05.008,kt
Unused Domestic Extraction - Primary Crops - Sesame Seed,UDE_1.05.009,kt
Unused Domestic Extraction - Primary Crops - Soybeans,UDE_1.05.010,kt
Unused Domestic Extraction - Primary Crops - Sunflower Seed,UDE_1.05.011,kt
Unused Domestic Extraction - Primary Crops - Oilseeds nec,UDE_1.05.012,kt
Unused Domestic Extraction - Primary Crops - Oil Palm Fruit,UDE_1.05.013,kt
Unused Domestic Extraction - Primary Crops - Castor oil seed,UDE_1.05.014,kt
Unused Domestic Extraction - Primary Crops - Karite Nuts,UDE_1.05.015,kt
Unused Domestic Extraction - Primary Crops - Tung Nuts,UDE_1.05.016,kt
Unused Domestic Extraction - Primary Crops - Jojoba Seeds,UDE_1.05.017,kt
Unused Domestic Extraction - Primary Crops - Tallowtree Seeds,UDE_1.05.018,kt
Unused Domestic Extraction - Primary Crops - Cottonseed,UDE_1.05.019,kt
Unused Domestic Extraction - Primary Crops - Sugar Beets,UDE_1.06.001,kt
